Feature,Target_Correlation,Separation_Score,Variance,CV,Target_Correlation_Norm,Separation_Score_Norm,Variance_Norm,Composite_Score
MDF,0.35452330339739707,0.21976553469880186,130.48367196148416,0.11087668982890421,1.3883936997659783,1.7473481840859673,0.0979268703177109,1.2738821276043204
NH4 (mM),0.3396275446037683,0.20322079180111893,0.30841604605684064,0.36775938670448716,1.2042338286748517,1.4999291515673647,-0.7338302696548684,0.9348991381659131
Cortisol,0.27751346695367984,0.1314643784068371,536.9945055161794,0.35588082749541655,0.436302453612763,0.42684494053955163,2.6953351558446643,0.8843259888298587
Glucose (uM),0.31086168027560773,0.14749818445080165,98.09915356718676,0.17968106568925027,0.84859448596713,0.6666231470382583,-0.10899459267161553,0.5842881346678322
性别,0.2739266544329161,0.07621905941795575,0.24001411017696522,1.2247808737100823,0.3919578223252032,-0.39932343572000933,-0.7342673250549591,-0.14979971036891426
K (mM),0.22315927954843837,0.07945627281379522,1.1533863599725587,0.20711110630528584,-0.23569152027553955,-0.35091239594694434,-0.7284313166301793,-0.38032782981502944
Na (mM),0.198155482025439,0.06438405837354512,140.3250961234874,0.23648912632351712,-0.5448195205620188,-0.5763104415848644,0.16080882708192848,-0.41629021944236755
Lactate (mM),0.21235448975741625,0.06867948295530472,16.515025365191,0.3175531520240925,-0.36927375147630526,-0.5120743394678334,-0.630277847797571,-0.47859480593716974
SUN (mM),0.14182931772648555,0.031144875440232065,22.325286280597634,0.3961550823651364,-1.2411935220522727,-1.0733871585776031,-0.5931530811319857,-1.0444628884783476
Tes,0.0902805045017803,0.00738282895861202,205.13041524770327,0.31362821775355393,-1.878503975979786,-1.4287376519338866,0.5748835796968762,-1.2079199352260939
