,count,percentage,lower_bound,upper_bound
性别,0,0.0,-1.5,2.5
Na (mM),0,0.0,14.14725,85.86125
K (mM),879,5.167548500881834,2.96865,7.372250000000001
Glucose (uM),481,2.827748383303939,29.475249999999992,80.34125
Lactate (mM),0,0.0,-1.3899999999999988,27.217999999999996
SUN (mM),0,0.0,-5.126750000000001,29.45125
NH4 (mM),0,0.0,-0.2929999999999999,3.235
Cortisol,535,3.145208700764256,10.593937499999988,115.90843749999999
Tes,0,0.0,-6.220624999999998,95.188375
MDF,4,0.023515579071134628,70.78485507812451,135.19175195312528
MEF,0,0.0,71.30662870783736,134.7817819265872
