Principal_Component,Explained_Variance_Ratio,Cumulative_Explained_Variance
PC1,0.26567326952833686,0.26567326952833686
PC2,0.22447888903480068,0.49015215856313754
PC3,0.1410718297985382,0.6312239883616757
PC4,0.11979723845624925,0.7510212268179249
PC5,0.09520124836746618,0.8462224751853911
PC6,0.053430643914860944,0.899653119100252
PC7,0.03993088477924044,0.9395840038794925
PC8,0.027345429193165325,0.9669294330726578
PC9,0.022433211264678832,0.9893626443373366
PC10,0.010637355662663247,0.9999999999999998
